# /Advice
Scripts.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Scripts.Players.Advice.AdvicersOn:			Es sind {0} Ratgeber online!

# /Advisor
Scripts.Players.Advisor.Off:				Eure Ratgeberkennung wurde ausgeschaltet.
Scripts.Players.Advisor.On:				Ihr seid nun als Ratgeber in Eurem Reich aktiv. Das Ratgeber-System wird von Spielern betrieben und benutzt, die anderen Leuten bei Problemen mit dem Spiel helfen wollen. Bitte aktiviert diese Funktion nur dann, wenn Ihr anderen Spielern helfen wollt.\nWenn Ihr wieder Eure Ruhe haben und nicht mehr als Ratgeber tätig sein wollt, gebt einfach erneut '/advisor' ein.

# /Afk
Scripts.Players.Afk.Off:				AFK ausgeschaltet.
Scripts.Players.Afk.On:					AFK eingeschaltet.

# /Anonymous
Scripts.Players.Anonymous.Error:			Anonymer Modus ist deaktiviert.
Scripts.Players.Anonymous.Off:				Anonymer Modus AUS.
Scripts.Players.Anonymous.On:				Anonymer Modus AN.

# /Assist
Scripts.Players.Assist.CantAssistYourself:		Ihr könnt Euch nicht selbst helfen.
Scripts.Players.Assist.DoesntHaveTarget:		 hat zur Zeit kein Ziel.
Scripts.Players.Assist.DontSee:				Ihr seht hier weit und breit niemanden mit dem Namen {0}!
Scripts.Players.Assist.NoTarget:			Ihr müsst einen Mitbürger Eures Heimatreiches aussuchen, dem Ihr helfen wollt.
Scripts.Players.Assist.NotValid:			Hier gibt es niemanden, der so heißt.
Scripts.Players.Assist.YouAssist:			Ihr helft {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:				Euer Autoloot-Status ist AUS. Ihr werdet nicht versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot on', um diese Option anzuschalten.
Scripts.Players.Autoloot.On:				Euer Autoloot-Status ist AN. Wenn Ihr alleine seid oder der Gruppenführer, werdet Ihr versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot off', um diese Option abzuschalten.

# /Autosplit
Scripts.Players.Autosplit.Coins:			Der Leiter ändert 
Scripts.Players.Autosplit.InGroup:			Ihr müsst für diesen Befehl Mitglied einer Gruppe sein.
Scripts.Players.Autosplit.Leader:			Ihr müsst für diesen Befehl Leiter der Gruppe sein.
Scripts.Players.Autosplit.Loot:				Der Leiter ändert 
Scripts.Players.Autosplit.Off:				Der Leiter hat den Autosplit-Status auf AUS gesetzt.
Scripts.Players.Autosplit.On:				Der Leiter hat den Autosplit-Status auf EIN gesetzt.
Scripts.Players.Autosplit.Self:				{0} ändert 

# /Battlegroup
Scripts.Players.Battlegroup.BattlegroupCount:		Im Moment sind {1} Mitglieder in der Kampfgruppe. 			
Scripts.Players.Battlegroup.BattleGroupLootNormal:	Der Loottyp der Kampfgruppe wurde auf normal gesetzt.    			
Scripts.Players.Battlegroup.BattlegroupLootThresholdOff:Das Lootlevel der Kampfgruppe ist momentan ausgeschaltet.			
Scripts.Players.Battlegroup.BattlegroupLootThresholdOn:	Das Lootlevel der Kampfgruppe ist momentan {0}.			
Scripts.Players.Battlegroup.BattleGroupLootTreasurer:	Der Loottyp der Kampfgruppe wurde auf Schatzmeister gesetzt. 			
Scripts.Players.Battlegroup.BattlegroupStatus:		Der momentane Status der Kampfgruppe ist: {0}. 			
Scripts.Players.Battlegroup.BattlegroupTreasurerIs:	Der Schatzmeister der Kampfgruppe ist ab jetzt: {0}.			
Scripts.Players.Battlegroup.BattlegroupTreasurerIsYou:	Ihr seid zum Schatzmeister der Kampfgruppe ernannt wurden.			
Scripts.Players.Battlegroup.BattlegroupTreasurerOff:	Die Kampfgruppe hat momentan keinen Schatzmeister. 			
Scripts.Players.Battlegroup.BattlegroupTreasurerOn:	Ihr habt {0} zum Schatzmeister der Kampfgruppe ernannt.
Scripts.Players.Battlegroup.Help.Count:			/bg count - Zeigt die Anzahl der Kampfgruppenmitglieder. 			
Scripts.Players.Battlegroup.Help.Credit:		/bg credit - Zeigt an, welche Meisterstufen-Encounter in den letzten 10 Minuten in der Kampfgruppe gutgeschrieben wurden.
Scripts.Players.Battlegroup.Help.GrantCredit:		/bg grantcredit <Meisterstufe> <Spieler> - Schreibt dem <Spieler> den <Meisterstufe> Schritt gut. Es muss sich dabei um einen Kampfgruppenencounter handeln!.
Scripts.Players.Battlegroup.Help.GroupClass:		/bg groupclass - Zeigt die Klassen für jede Gruppe in der Kampfgruppe.
Scripts.Players.Battlegroup.Help.Groups:		/bg groups - Zeigt alle Gruppen und deren Mitglieder in der Kampfgruppe. Ist ein Spieler zwar in einer Gruppe, nicht aber in der Kampfgruppe, wird dieser Name in <Klammern> gezeigt. Zeigt auch die Solo-Spieler (mit Level und Klasse) an.			
Scripts.Players.Battlegroup.Help.Help:			/bg help - Zeigt die Hilfe zur Befehlsformulierung an.
