Effects.BannerOfBesiegingEffect.Name:		Banner der Belagerung
Effects.BannerOfBesiegingEffect.Description:	Senkt die Feuerrate von Belagerungswaffen um 6%.

Effects.BannerOfFreedomEffect.Name		Banner der Freiheit
Effects.BannerOfFreedomEffect.Description:	Reduziert alle Crowd Controll-Effekte um 6%.

Effects.BannerOfShieldingEffect.Name		Banner  der Abschirmung
Effects.BannerOfShieldingEffect.Description:	Gewährt einen 6%-Bonus auf allen Nahkampf-Resistenzen.

Effects.BannerOfWardingEffect.Name:		Banner der Abwehr
Effects.BannerOfWardingEffect.Description:	Gewährt einen 10%-Bonus auf deine Magie-Resistenzen.

Effects.BerserkEffect.GoBerserkerFrenzy:	Ihr verfallt dem Berserker-Wahn!
Effects.BerserkEffect.BerserkerFrenzyEnds:	Euer Berserkerwahn verschwindet.
Effects.BerserkEffect.Name:			Berserker
Effects.BerserkEffect.InfoEffect:		Diese Fähigkeit macht aus einem Spieler eine Kampfmaschine und macht aus jedem Schlag einen kritischen Treffer, jedoch auf Kosten deiner Verteidigungsfähigkeiten. Sie kann alle 7 Minuten genutzt werden.

Effects.BodyguardEffect.NowBGXButSC:		Ihr seid nun der Leibwächter von {0}, aber Ihr müsst näher heran.
Effects.BodyguardEffect.XNowBGYouButSC:		{0} ist nun Euer Leibwächter, muss aber näher an Euch heran.
Effects.BodyguardEffect.YouAreNowBGX:		Ihr seid nun der Leibwächter von {0}.
Effects.BodyguardEffect.XIsBGYou:		{0} ist nun Euer Leibwächter .
Effects.BodyguardEffect.YouAreNoLongerBGX:	Ihr seid nun kein Leibwächter mehr von {0}.
Effects.BodyguardEffect.XIsNoLongerBGYou:	{0} ist nun nicht mehr Euer Leibwächter.
Effects.BodyguardEffect.XIsBodyguardingY:	{0} beschützt {1}
Effects.BodyguardEffect.Name:			Leibwächter
Effects.BodyguardEffect.InfoEffect:		Wird diese Fähigkeit erfolgreich eingesetzt, zieht Ihr eine Attacke, die dem Beschützenden galt, auf Euch. Du blockst die Attacke an Stelle des Ziels.
Effects.BodyguardEffect.BodyguardedByName:	{0} wird von {1} beschützt.

Effects.CamouflageEffect.YouAreCamouflaged:	Ihr seid nun getarnt!
Effects.CamouflageEffect.YourCFIsGone:		Eure Tarnung ist weg.
Effects.CamouflageEffect.Name:			Tarnung
Effects.CamouflageEffect.InfoEffect:		Fähigkeit der Bogenschützen. Diese Fähigkeit macht den Bogenschützen unentdeckbar für Meister der Schattenkunst. Durch das Ziehen einer Waffe oder das Eingreifen in einen Kampf wird dieser Effekt beendet und der Spieler wird dadurch wieder sichtbar. Diese Fähigkeit ändert nicht den Schleichen-Skill.

Effects.DelveInfo.MinutesRemaining:		- es bleiben noch {0}: {1} Minuten übrig.
Effects.DelveInfo.SecondsRemaining:		- es bleiben noch {0} Sekunden übrig.
Effects.DelveInfo.Seconds:			{0} Sekunden.

Effects.EngageEffect.ConcOnBlockingX:		Ihr konzentriert Euch darauf, die Hiebe von {0} zu blocken!
Effects.EngageEffect.YouNoConcOnBlock:		Ihr konzentriert Euch nun nicht mehr darauf, Hiebe zu blocken!
Effects.EngageEffect.YouNoAttemptToEngageT:	Ihr versucht nun nicht mehr einzugreifen.
Effects.EngageEffect.XEngagesY:			{0} greift {1} an
Effects.EngageEffect.EngageName:		Angriff: {0}
Effects.EngageEffect.Name:			Angriff
Effects.EngageEffect.InfoEffect:		Eure Ausdauer wird zu Gunsten einer höheren Blockrate aufgegeben. Angreifen kann nur beim Fernkampf eingesetzt werden. Sobald Ihr kämpft, hört es auf zu wirken.

Effects.GameSpellEffect.CantRemoveEffect:	Ihr könnt diesen Effekt nicht entfernen!

Effects.GuardEffect.YouAreNowGuardingYBut:	Ihr bewacht nun {0}, aber Ihr müsst näher heran.
Effects.GuardEffect.XIsNowGuardingYouBut:	{0} bewacht Euch nun, aber Ihr müsst näher heran.
Effects.GuardEffect.YouAreNowGuardingY:		Ihr bewacht nun {0}.
Effects.GuardEffect.XIsNowGuardingYou:		{0} bewacht Euch nun.
Effects.GuardEffect.YourNoLongerGuardingY:	Ihr bewacht {0} nun nicht mehr.
Effects.GuardEffect.XNoLongerGuardingYoy:	{0} bewacht Euch nicht mehr
Effects.GuardEffect.InfoEffect:			Diese Fähigkeit, falls sie erfolgreich ausgeübt wird, wacht über eine Attacke die dem Ziel zugedacht war. Du blockst nun für deinen Schützling.
Effects.GuardEffect.GuardedByName:		{0} bewacht durch {1}
Effects.GuardEffect.Name:			Wache
Effects.GuardEffect.XIsGuardingY:		{0} bewacht {1}

Effects.InterceptEffect.YouAttemtInterceptYBut:	Ihr versucht, einen Angriff auf {0} abzufangen, aber Ihr müsst näher heran.
Effects.InterceptEffect.XAttemtInterceptYouBut:	{0} versucht nun, einen Angriff auf Euch abzufangen, doch dazu müsst Ihr näher an {0} heran.
Effects.InterceptEffect.YouAttemtInterceptY:	Ihr versucht, einen Angriff auf {0} abzufangen.
Effects.InterceptEffect.XAttemptInterceptYou:	{0} versucht, einen Angriff auf Euch abzufangen.
Effects.InterceptEffect.YouNoAttemptInterceptY:	Ihr versucht nicht mehr, einen Angriff auf {0} abzufangen.
Effects.InterceptEffect.XNoAttemptInterceptYou:	{0} versucht nicht mehr, einen Angriff auf Euch abzufangen.
Effects.InterceptEffect.InterceptedByName:	{0} wird abgefangen durch {1}
