# Bonedancer

GameObjects.CommanderPet.BoneCommander:		bone commander			
GameObjects.CommanderPet.DecayedCommander:		decayed commander			
GameObjects.CommanderPet.DreadArcher:			dread archer		
GameObjects.CommanderPet.DreadCommander:		dread commander			
GameObjects.CommanderPet.DreadGuardian:		dread guardian			
GameObjects.CommanderPet.DreadLich:			dread lich		
GameObjects.CommanderPet.DreadLord:		        dread lord
GameObjects.CommanderPet.ReturnedCommander:		returned commander			
GameObjects.CommanderPet.SkeletalCommander:		skeletal commander			
GameObjects.CommanderPet.WR.Assist.Off:         Ihr Kommandant wird nicht länger von seinen Kämpfern unterstützt					
GameObjects.CommanderPet.WR.Assist.On:          Ihr Kommandant wird jetz von seinen Kämpfern unterstützt							
GameObjects.CommanderPet.WR.Combat:			Der {0} sagt: "Meine Untergebenen werden mich [{1}] und die von Euch vorgegebenen Ziele zusammen mit mir angreifen oder für sich kämpfen und eigene Ziele wählen. Ich kann zudem versuchen, Eure Gegner so zu [{2}], dass diese mich statt Euch angreifen."		
GameObjects.CommanderPet.WR.CombatNoMinions:    Der {0} sagt: "Ich kann zudem versuchen, Eure Gegner so zu [{1}], dass diese mich statt Euch angreifen."		
GameObjects.CommanderPet.WR.CommNoTaunt:		Euer Kommandant wird nicht länger die Feinde verärgern!			
GameObjects.CommanderPet.WR.CommStartTaunt:		Euer Kommandant wird jetzt die Feinde verärgern!			
GameObjects.CommanderPet.WR.Const.1HandedAxe:		Einhandaxt			
GameObjects.CommanderPet.WR.Const.1HandedHammer:	Einhandhammer				
GameObjects.CommanderPet.WR.Const.1HandedSword:		Einhandschwert			
GameObjects.CommanderPet.WR.Const.2HandedAxe:		Zweihandaxt			
GameObjects.CommanderPet.WR.Const.2HandedHammer:	Zweihandhammer				
GameObjects.CommanderPet.WR.Const.2HandedSword:		Zweihandschwert			
GameObjects.CommanderPet.WR.Const.Assist:		unterstutzen			
GameObjects.CommanderPet.WR.Const.Combat:		kampf			
GameObjects.CommanderPet.WR.Const.Commander:		kommandant			
GameObjects.CommanderPet.WR.Const.Damage:		schaden			
GameObjects.CommanderPet.WR.Const.Debilitating:		schwachenden			
GameObjects.CommanderPet.WR.Const.Drain:		drain			
GameObjects.CommanderPet.WR.Const.Empower:		ermachtigen			
GameObjects.CommanderPet.WR.Const.Harm:		Schaden		
GameObjects.CommanderPet.WR.Const.One:			zwei		
GameObjects.CommanderPet.WR.Const.Snares:		verlangsamen			
GameObjects.CommanderPet.WR.Const.Spells:		zauberspruche			
GameObjects.CommanderPet.WR.Const.Spell.NotAvailable:	Dieser Zauber ist derzeit nicht verfügbar
GameObjects.CommanderPet.WR.Const.Suppress:		suppress			
GameObjects.CommanderPet.WR.Const.Taunt:		verargern			
GameObjects.CommanderPet.WR.Const.Two:			ein
GameObjects.CommanderPet.WR.Const.Weapons:		waffen			
GameObjects.CommanderPet.WR.DreadArcher:		Der {0} sagt: "Als Bodgars Lieblingsbogenschütze kannst du meine Kräfte [{1}]. Ich habe auch mehrere [{2}] zur Verfügung"
"			
GameObjects.CommanderPet.WR.DreadGuardian.Drain:		Der {0} sagt, "Ich werde jetzt das Leben meiner Feinde erschöpfen."			
GameObjects.CommanderPet.WR.DreadGuardian.Suppress:		Der {0} sagt, "Ich werde jetzt Zauber wirken, die die Gedanken meiner Feinde auslöschen"			
GameObjects.CommanderPet.WR.DreadGuardian:		Der {0} sagt: "Als Bodgar Guardian habe ich die Fähigkeit, meine Feinde zu [{2}] und mich mit speziellen [{3}] zu schützen. Ich habe auch verschiedene [{3}]."			
GameObjects.CommanderPet.WR.DreadGuardian2:		Der {0} sagt: "Bodgar hat mir die Möglichkeit gegeben, das Leben meiner Feinde zu [{1}] oder [{2}] Zauber zu wirken. Ich habe standardmäßig Schwächungszauber gesprochen, aber Sie können wählen, ob Sie Änderungen vornehmen möchten"			
GameObjects.CommanderPet.WR.DreadLich.Damage:   Der {0} sagt, "Jetzt will ich nur Schaden Zauber wirken."					
GameObjects.CommanderPet.WR.DreadLich.Debilitating: Der {0} sagt, "Jetzt will ich nur geistesgestörte Zauber wirken."					
GameObjects.CommanderPet.WR.DreadLich.Snare:    Der {0} sagt, "Jetzt will ich nur verlangsamen Zauber wirken."					
GameObjects.CommanderPet.WR.DreadLich:			Der {0} sagt: "Als Bodgar-Mystiker habe ich viele dämonische [{1}].  Ich kann auch meine Zauber [{2]} und habe verschiedene [{3}]"		
GameObjects.CommanderPet.WR.DreadLich2:			Der {0} sagt: "Mein Arsenal besteht aus [{1}]-, [{2}] und reinen [{3}]-Zaubersprüchen. Wenn ich das erste Mal gerufe werde, wende ich schwächende Zaubersprüche an, aber Ihr könnt mir auch befehlen, andere Zaubersprucharten anzuwenden."		
GameObjects.CommanderPet.WR.Spell.Empower:		Empower			
GameObjects.CommanderPet.WR.Weapons.All:		Ein {0} sagt: "Ich beherrsche die [{1}], den [{2}], das [{3}], die [{4}], den [{5}], und das [{6}]."			
GameObjects.CommanderPet.WR.Weapons.Limited:	Ein {0} sagt: "Ich beherrsche die [{1}], den [{2}], und das [{3}]."			
GameObjects.CommanderPet.WR.XCommander:			Ein {0} sagt: "Als einer von Bogdars Kommandanten beherrsche ich viele der verknöcherten [{1}] in seiner Knochenarmee. Welche Waffe soll ich tragen? Mir stehen auch mehrere [{2}]-Taktiken zur Verfügung."		
GameObjects.Master:					Meister
GameObjects.Mistress:					Meisterin

					
				
