#All

PlayerClass.GetTitle.none:		Keiner



PlayerClass.Mauler.GetTitle.50:		Meistermalmer

PlayerClass.Mauler.GetTitle.45:		Fetzer

PlayerClass.Mauler.GetTitle.40:		Eisenfaust

PlayerClass.Mauler.GetTitle.35:		Zänker

PlayerClass.Mauler.GetTitle.30:		Zehn Hände

PlayerClass.Mauler.GetTitle.25:		Aggressor

PlayerClass.Mauler.GetTitle.20:		Boxer

PlayerClass.Mauler.GetTitle.15:		Fünf Pranken

PlayerClass.Mauler.GetTitle.10:		Steinhand

PlayerClass.Mauler.GetTitle.5:		Malmereingeweihter



#Albion

PlayerClass.Armsman.GetTitle.50:	General

PlayerClass.Armsman.GetTitle.45:	Oberst

PlayerClass.Armsman.GetTitle.40:	Zenturio

PlayerClass.Armsman.GetTitle.35:	Leutnant

PlayerClass.Armsman.GetTitle.30:	Feldwebel

PlayerClass.Armsman.GetTitle.25:	Legionär

PlayerClass.Armsman.GetTitle.20:	Soldat

PlayerClass.Armsman.GetTitle.15:	Infanterist

PlayerClass.Armsman.GetTitle.10:	Fußsoldat

PlayerClass.Armsman.GetTitle.5:		Einberufener



PlayerClass.Cabalist.GetTitle.50:	Primus der Kabbalisten

PlayerClass.Cabalist.GetTitle.45:	Meisterpräger

PlayerClass.Cabalist.GetTitle.40:	Meister-Spiritist

PlayerClass.Cabalist.GetTitle.35:	Animator

PlayerClass.Cabalist.GetTitle.30:	Spiritist

PlayerClass.Cabalist.GetTitle.25:	Erfahrener Kabbalist

PlayerClass.Cabalist.GetTitle.20:	Erschaffer

PlayerClass.Cabalist.GetTitle.15:	Präger

PlayerClass.Cabalist.GetTitle.10:	Kabbalisten-Geselle

PlayerClass.Cabalist.GetTitle.5:	Kabbalisten-Schüler



PlayerClass.Cleric.GetTitle.50:		Pontifex

PlayerClass.Cleric.GetTitle.45:		Kardinal

PlayerClass.Cleric.GetTitle.40:		Bischof

PlayerClass.Cleric.GetTitle.35:		Abt

PlayerClass.Cleric.GetTitle.30:		Geistlicher

PlayerClass.Cleric.GetTitle.25:		Diakon

PlayerClass.Cleric.GetTitle.20:		Prälat

PlayerClass.Cleric.GetTitle.15:		Pastor

PlayerClass.Cleric.GetTitle.10:		Novize

PlayerClass.Cleric.GetTitle.5:		Initiat



PlayerClass.Friar.GetTitle.50:		Primus

PlayerClass.Friar.GetTitle.45:		Großinquisitor

PlayerClass.Friar.GetTitle.40:		Großkaplan

PlayerClass.Friar.GetTitle.35:		Inquisitor

PlayerClass.Friar.GetTitle.30:		Kaplan

PlayerClass.Friar.GetTitle.25:		Eiferer

PlayerClass.Friar.GetTitle.20:		Zelot

PlayerClass.Friar.GetTitle.15:		Fanatiker

PlayerClass.Friar.GetTitle.10:		Unterkaplan

PlayerClass.Friar.GetTitle.5:		Akolyt



PlayerClass.Heretic.GetTitle.50:	Arawns Selbst

PlayerClass.Heretic.GetTitle.45:	Priester Arawns

PlayerClass.Heretic.GetTitle.40:	Apostel Arawns

PlayerClass.Heretic.GetTitle.35:	Diener Arawns

