Mid.StolenEggs.CheckPlayerAbortQuest.Text1:	Das ist gut, dann geht und beendet Euren Auftrag!
Mid.StolenEggs.CheckPlayerAbortQuest.Text2:	Quest "{0}" abgebrochen. Ihr könnt jeder Zeit wieder anfangen.
Mid.StolenEggs.CheckPlayerAcceptQuest.Text1:	Auch gut, falls Ihr Eure Meinung ändert, wisst Ihr, wo ich mich findet!
Mid.StolenEggs.CheckPlayerAcceptQuest.Text2:	Danke. Sprecht mit Hyndla, der Wikingerin, in der Nähe der Jordheimtore. Passanten berichteten, sie hätten seltsame Kreaturen an den Straßenrändern gesehen, als sie dort entlang reisten. Fragt sie nach dem genauen Gebiet. Nochmals Dank, {0}.
Mid.StolenEggs.Descriptiont.Text1:		Sucht Hyndla, die Wikingerin nahe der Tore von Jordheim. Fragt sie, ob ihr verdächtiges [Askefruer]-Verhalten auffiel oder zu Ohren kam.
Mid.StolenEggs.Descriptiont.Text2:		Geht gen Haggerfel, dann nordnordöstlich entlang der Straße von Haggerfel, bis Ihr drei Baumstümpfe seht. Sucht nach der Gruppe mit den vier Bäumen, denn dort hält sich die Kreatur versteckt.
Mid.StolenEggs.Descriptiont.Text3:		Besiegt den Askefruer-Ausbilder!
Mid.StolenEggs.Descriptiont.Text4:		Ihr könnt nun mit dem Greifenjungen interagieren. Um dies zu tun, klickt rechts mit der Maus auf es. Falls Ihr das Greifenjunge verliert, kehrt zurück zu Greifenabrichter Njiedi.
Mid.StolenEggs.Descriptiont.Text5:		Bringt Greifenabrichter Njiedi nahe der Tore von Jordheim sein Junges zurück. Gebt ihm die Peitsche, wenn er fragt. Falls das Junge verloren gehen sollte, setzt Euren Weg zu Njiedi fort. Das Junge wird den Heimweg allein finden.
Mid.StolenEggs.Descriptiont.Text6:		Sprecht mit Greifenabrichter Njiedi. Fragt ihn nach seiner [Dankbarkeit] für Eure Bemühungen.
Mid.StolenEggs.Descriptiont.Text7:		Kehrt zurück zu Dalikor an den Wachturm nahe Mularn. Sagt ihm, dass Ihr Njiedis Greifenjunges [erfolgreich] zurückgebracht habt.
Mid.StolenEggs.FinishQuest.Text1:		Ihr erhaltet {0} als Belohnung.
Mid.StolenEggs.InitGrifflet.NPCGrifflet:	Greifenjunges
Mid.StolenEggs.Notify.Text1:			{0} sagt: "Besiegt von einer landgebundenen Kreatur! Wie kann das nur sein?"
Mid.StolenEggs.Notify.Text2:			Ihr erschlagt die Kreatur und aus der Hand des Askefruer-Ausbilders fällt eine Peitsche.
Mid.StolenEggs.Notify.Text3:			Eine Peitsche? Das ist frevelhaft! Ich sehe, dass sie versucht haben ihn zu foltern. Diese Askefruer sind wahrlich boshafte Kreaturen. Ich hoffe, Ihr rottet sie eines Tages aus, {0}. Hier, nehmt dies als ein Zeichen meiner [Dankbarkeit].
Mid.StolenEggs.NPCAskefruerTrainer:		Askefruer-Ausbilder
Mid.StolenEggs.NPCGriffinHandlerNjiedi:		Greifenabrichter Njiedi
Mid.StolenEggs.NPCVikingHyndla:			Hyndla die Wikingerin
Mid.StolenEggs.QuestTitle:			Gestohlene Eier
Mid.StolenEggs.TalkToDalikor.AbortQuest:	Wollt Ihr diese Quest wirklich abbrechen?
Mid.StolenEggs.TalkToDalikor.OfferQuest:	Werdet Ihr herausfinden, wo das Greifenei geblieben ist? [Erfahrungsstufe 4]
Mid.StolenEggs.TalkToDalikor.Talk1:		Willkommen, mein Freund. Wir scheinen vor einer neuen Askefruersituation zu stehen. Die Ältesten wollen die Wachen nicht zur Unterstützung gehen lassen, daher fällt die Aufgabe erneut an Euch. Lasst mich die Lage [erklären].
Mid.StolenEggs.TalkToDalikor.Talk2:		Ah, Rekrut, Ihr seid zurückgekehrt. Ich nehme an, Eure Mission war [erfolgreich]?
