# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:			Sinnesschärfe
SkillBase.RegisterPropertyNames.AcuityBonusCap:		Bonus auf Sinnesschärfebonuslimit
SkillBase.RegisterPropertyNames.AllArcherySkills:	ALLE Bogenfähigkeiten
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:	ALLE Doppelwaffentalente
SkillBase.RegisterPropertyNames.AllMagicSkills:		ALLE Magietalente
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:	ALLE Nahkampftalente
SkillBase.RegisterPropertyNames.AllSkills:		ALLE Fähigkeiten
SkillBase.RegisterPropertyNames.ALLSpellLines:		ALLE Zauberlinien
SkillBase.RegisterPropertyNames.Arboreal:		Arboreal
SkillBase.RegisterPropertyNames.ArborealFocus:		Arboreal
SkillBase.RegisterPropertyNames.Archery:		Archery
SkillBase.RegisterPropertyNames.ArcheryRange:		Bogenschussreichweite
SkillBase.RegisterPropertyNames.ArcherySpeed:		Bogengeschwindigkeits Bonus
SkillBase.RegisterPropertyNames.ArrowRecovery:		Pfeilwiederherstellung
SkillBase.RegisterPropertyNames.Augmentation:		Verbesserung
SkillBase.RegisterPropertyNames.AuraManipulation:	Auramanipulation
SkillBase.RegisterPropertyNames.Axe:			Axt
SkillBase.RegisterPropertyNames.Battlesongs:		Schlachtgesang
SkillBase.RegisterPropertyNames.BeastCraft:		Tierherrschaft
SkillBase.RegisterPropertyNames.Blades:			Klingen
SkillBase.RegisterPropertyNames.BladeturnReinforcement:	- Klingenwendungsverstärkung: {0}% (PvM Only)
SkillBase.RegisterPropertyNames.BlockChance:		- Block Bonus: {0}% (Nur PvM)
SkillBase.RegisterPropertyNames.Blunt:			Stumpfe Waffen
SkillBase.RegisterPropertyNames.Body:			Körper
SkillBase.RegisterPropertyNames.BodyMagic:		Körpermagie
SkillBase.RegisterPropertyNames.BodyMagicFocus:		Körpermagie
SkillBase.RegisterPropertyNames.BoneArmy:		Knochenarmee
SkillBase.RegisterPropertyNames.BoneArmyFocus:		Knochenarmee
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:	Absorptionsbonus
SkillBase.RegisterPropertyNames.BonusToArmorFactor:	Rüstungsfaktor-Bonus
SkillBase.RegisterPropertyNames.CastingSpeed:		Zaubergeschwindigkeitsbonus
SkillBase.RegisterPropertyNames.CaveMagic:		Höhlenmagie
SkillBase.RegisterPropertyNames.CelticDual:		Keltendoppel
SkillBase.RegisterPropertyNames.CelticSpear:		Keltenspeer
SkillBase.RegisterPropertyNames.Chants:			Gesänge
SkillBase.RegisterPropertyNames.Charisma:		Charisma
SkillBase.RegisterPropertyNames.CharismaBonusCap:	Bonus auf Charismabonuslimit
SkillBase.RegisterPropertyNames.Cold:			Kälte
SkillBase.RegisterPropertyNames.ColdMagic:		Kältemagie
SkillBase.RegisterPropertyNames.ColdMagicFocus:		Kältemagie
SkillBase.RegisterPropertyNames.Composite:		Komposite
SkillBase.RegisterPropertyNames.Concentration:		Konzentration
SkillBase.RegisterPropertyNames.Constitution:		Konstitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:	Bonus auf Konstitutionsbonuslimit
SkillBase.RegisterPropertyNames.Creeping:		Creeping
SkillBase.RegisterPropertyNames.CreepingPathFocus:	Creeping
SkillBase.RegisterPropertyNames.CriticalArcheryHit:	Chancenbonus auf kritischen Ferntreffer
SkillBase.RegisterPropertyNames.CriticalMeleeHit:	Chancenbonus auf kritischen Nahkampftreffer
SkillBase.RegisterPropertyNames.CriticalStrike:		Kritischer Treffer
SkillBase.RegisterPropertyNames.Crossbows:		Armbrust
SkillBase.RegisterPropertyNames.Crush:			Schlag
SkillBase.RegisterPropertyNames.Crushing:		Schlagen
SkillBase.RegisterPropertyNames.Cursing:		Verfluchen
