# DelveInfo

DelveInfo.CastingTime:					Zauberzeit: {0}

DelveInfo.ConcentrationCost:				Konzentrationsaufwand: {0} Punkte

DelveInfo.Damage:					Schaden: {0}

DelveInfo.Duration:					Dauer: 

DelveInfo.Focus:					This is a focus spell. Cancels if you do any action.

DelveInfo.Frequency:					Frequency: {0}

DelveInfo.HealthReturned:				Trefferpunkte: {0}% des Schadens

DelveInfo.InstrumentRequire:				Instrument require: {0}

DelveInfo.PowerCost:					Magiekraftkosten: {0}

DelveInfo.Radius:					Radius: {0}

DelveInfo.Range:					Reichweite: {0}

DelveInfo.RecastTime:					Recast time: 

DelveInfo.Target:					Ziel: {0}

DelveInfo.Value:					Wert: {0}



# DamageSpeedDecrease

DamageSpeedDecrease.DelveInfo.Decrease:			Speed decrease: {0}%

DamageSpeedDecrease.DelveInfo.Function:			Wirkung: damage/speed decrease



# ResistDebuff

ResistDebuff.DelveInfo.Decrease:			Resist decrease {0}: {1}

ResistDebuff.DelveInfo.Function:			Wirkung: resistance decrease



#CharmSpellHandler

CharmSpellHandler.DelveInfo.Function:			Wirkung: {0}



# DamageAddAndShield

DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} fügt Euch {1} Punkte zusätzlichen Schaden zu!

DamageAddAndShield.EventHandlerDA.YouHitExtra:		Ihr treff und {0} erleidet {1} Punkte zusätzlichen Schaden!

DamageAddAndShield.EventHandlerDA.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!

DamageAddAndShield.EventHandlerDA.YourHitFor:		{0} trifft und {1} erleidet {2} Punkte Schaden!

DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} fügt Euch {1} Punkte zusätzlichen Schaden zu!

DamageAddAndShield.EventHandlerDS.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!

DamageAddAndShield.EventHandlerDS.YourHitFor:		{0} trifft und {1} erleidet {2} Punkte Schaden!



# DirectDamageDebuffSpellHandler

DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Resist decrease ({0}): {1}%

DirectDamageDebuffSpellHandler.DelveInfo.Function:	Wirkung: dmg w/resist decrease



# DoTSpellHandler

DoTSpellHandler.SendDamageMessages.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!

DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	{0} trifft kritisch und {1} erleidet {2} Punkte zusätzlichen Schaden!

DoTSpellHandler.SendDamageMessages.YourHitsFor:		{0} trifft und {1} erleidet {2} Punkte zusätzlichen Schaden!



# NearsightSpellHandler

NearsightSpellHandler.DelveInfo.Function:		Wirkung: {0}



# ProcSpellHandler

ProcSpellHandler.DelveInfo.Function:			Wirkung: {0}


