# HOUSING

# /house

House.DBHousePermissions.AccessLevel:			Access level {0}

House.Edit.NotEnoughMoney:				You don't have enough money to do that!

House.Edit.PayForChanges:				You pay {0} for your changes.

House.Enter.EnteredHouse:				You have entered house number {0}.

House.Exit.LeftHouse:					You have left house number {0}.

House.SendHouseInfo.DoorMaterial:			-Door: {0}	

House.SendHouseInfo.ExteriorMaterials:			Exterior Materials:	

House.SendHouseInfo.ExteriorUpgrades:			Exterior Upgrades:	

House.SendHouseInfo.HouseOwner:				{0}'s house

House.SendHouseInfo.IndoorGuildBanner:			-Banner: {0}	

House.SendHouseInfo.IndoorGuildShield:			-Shield: {0}	

House.SendHouseInfo.InteriorCarpets:			Interior Carpets:	

House.SendHouseInfo.InteriorUpgrades:			Interior Upgrades:	

House.SendHouseInfo.Level:				Level: {0}

House.SendHouseInfo.Lockbox:				Lockbox: {0}

House.SendHouseInfo.Lotnum:				Lotnum: {0}

House.SendHouseInfo.MaxLockbox:				Max in Lockbox: {0}

House.SendHouseInfo.OutdoorGuildBanner:			-Banner: {0}	

House.SendHouseInfo.OutdoorGuildShield:			-Shield: {0}	

House.SendHouseInfo.Owner:				Owner: {0}

House.SendHouseInfo.Owners:				Owners:

House.SendHouseInfo.Porch:				Porch: 

House.SendHouseInfo.PorchEnabled:			-Enabled: {0}	

House.SendHouseInfo.PorchMaterial:			-Porch: {0}	

House.SendHouseInfo.PorchRoofColor:			-Color: {0}	

House.SendHouseInfo.RentalPrice:			Rental Price: {0}	

House.SendHouseInfo.RentDueIn:				Rent due in: {0} days, {1} hours

House.SendHouseInfo.RoofMaterial:			-Roof: {0}	

House.SendHouseInfo.Rug1Color:				-First Color: {0}

House.SendHouseInfo.Rug2Color:				-Second Color: {0}

House.SendHouseInfo.Rug3Color:				-Third Color: {0}

House.SendHouseInfo.Rug4Color:				-Fourth Color: {0}

House.SendHouseInfo.TrussMaterial:			-Support: {0}	

House.SendHouseInfo.WallMaterial:			-Wall: {0}	

House.SendHouseInfo.WindowMaterial:			-Shutter: {0}



HouseEnterLeave.TooFarAway:					You are too far to enter the house {0}.

HouseEnterLeave.CantEnter:					You cannot enter the house {0}.



HousingDecorationRotate.Rotated:			A {0} degrees to {1} degrees turned interior object.



# /HousingPlaceItemHandler

Scripts.Player.Housing.BadShieldBanner:			That is not a valid shield or banner object.

Scripts.Player.Housing.CantBeSold:			This item cannot be sold!

Scripts.Player.Housing.CarpetsRemoved:			Your carpets have been removed.

Scripts.Player.Housing.ClearHookPoint: 			Would you like to clear the current hookpoint?

Scripts.Player.Housing.EnteredHouse:			You have entered house number {0}.

Scripts.Player.Housing.GardenItemPlaced:		Garden object placed. {0} slots remaining.	

Scripts.Player.Housing.GardenItemPlacedName:		You have placed {0} in your garden.	

Scripts.Player.Housing.GardenMaxObjects:		You have already placed 30 objects in your garden. You cannot place more.	

Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} now owns a guild house from {1}!

Scripts.Player.Housing.HookPointAdded:			That item has been added to your house.

Scripts.Player.Housing.HookPointAlready: 		That HookPoint already has an item!	

Scripts.Player.Housing.HookPointCleared: 		That HookPoint has been cleared.	

Scripts.Player.Housing.HookPointCloser:			Stand as close to the housepoint as possible and face the proper direction and press accept.

Scripts.Player.Housing.HookPointID:			The hookpoint ID is: {0}

Scripts.Player.Housing.HookPointLogged:			Logged hookpoint position {0}!

Scripts.Player.Housing.HookPointLogLoc:			Log this housepoint location?

Scripts.Player.Housing.HookPointNot:			That is not a hookpoint item!

Scripts.Player.Housing.HookPointNotPlaced:		That hookpoint item was not placed.	

Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change those materials.	

Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change your carpets.	

Scripts.Player.Housing.IndoorFloorPlaced:		You have placed {0} on the floor of your house.	

Scripts.Player.Housing.IndoorItemPlaced:		Indoor item placed. {0} slots remaining.	

Scripts.Player.Housing.IndoorMaxItems:			You have already placed {0} in your house. You cannot place more.

Scripts.Player.Housing.IndoorWallPlaced:		You have placed {0} onto the wall of your house.	

Scripts.Player.Housing.InteriorBannersAdded:		Your interior guild banners have been changed.	

Scripts.Player.Housing.InteriorBannersRemoved:		Your interior guild banners have been removed.	

