# Unknown
GamePlayer.RealmTitle.UnknownRealm:					Unknown Realm

# Starter titles
GamePlayer.RealmTitle.Defender:						Defender
GamePlayer.RealmTitle.Invader:						Invader

# Albion
# /Male
GamePlayer.RealmTitle.Albion.RR0.Male:				Invader
GamePlayer.RealmTitle.Albion.RR1.Male:				Guardian
GamePlayer.RealmTitle.Albion.RR2.Male:				Warder
GamePlayer.RealmTitle.Albion.RR3.Male:				Myrmidon
GamePlayer.RealmTitle.Albion.RR4.Male:				Gryphon Knight
GamePlayer.RealmTitle.Albion.RR5.Male:				Eagle Knight
GamePlayer.RealmTitle.Albion.RR6.Male:				Phoenix Knight
GamePlayer.RealmTitle.Albion.RR7.Male:				Alerion Knight
GamePlayer.RealmTitle.Albion.RR8.Male:				Unicorn Knight
GamePlayer.RealmTitle.Albion.RR9.Male:				Lion Knight
GamePlayer.RealmTitle.Albion.RR10.Male:				Dragon Knight
GamePlayer.RealmTitle.Albion.RR11.Male:				Lord
GamePlayer.RealmTitle.Albion.RR12.Male:				Baronet
GamePlayer.RealmTitle.Albion.RR13.Male:				Baron
GamePlayer.RealmTitle.Albion.RR14.Male:				Arch Duke

# /Female
GamePlayer.RealmTitle.Albion.RR0.Female:			Invader
GamePlayer.RealmTitle.Albion.RR1.Female:			Guardian
GamePlayer.RealmTitle.Albion.RR2.Female:			Warder
GamePlayer.RealmTitle.Albion.RR3.Female:			Myrmidon
GamePlayer.RealmTitle.Albion.RR4.Female:			Gryphon Knight
GamePlayer.RealmTitle.Albion.RR5.Female:			Eagle Knight
GamePlayer.RealmTitle.Albion.RR6.Female:			Phoenix Knight
GamePlayer.RealmTitle.Albion.RR7.Female:			Alerion Knight
GamePlayer.RealmTitle.Albion.RR8.Female:			Unicorn Knight
GamePlayer.RealmTitle.Albion.RR9.Female:			Lion Knight
GamePlayer.RealmTitle.Albion.RR10.Female:			Dragon Knight
GamePlayer.RealmTitle.Albion.RR11.Female:			Lady
GamePlayer.RealmTitle.Albion.RR12.Female:			Baronetess
GamePlayer.RealmTitle.Albion.RR13.Female:			Baroness
GamePlayer.RealmTitle.Albion.RR14.Female:			Arch Duchess


# Midgard
# /Male
GamePlayer.RealmTitle.Midgard.RR0.Male:				Invader
GamePlayer.RealmTitle.Midgard.RR1.Male:				Skiltvakten
GamePlayer.RealmTitle.Midgard.RR2.Male:				Isen Vakten
GamePlayer.RealmTitle.Midgard.RR3.Male:				Flammen Vakten
GamePlayer.RealmTitle.Midgard.RR4.Male:				Elding Vakten
GamePlayer.RealmTitle.Midgard.RR5.Male:				Stormur Vakten
GamePlayer.RealmTitle.Midgard.RR6.Male:				Isen Herra
GamePlayer.RealmTitle.Midgard.RR7.Male:				Flammen Herra
GamePlayer.RealmTitle.Midgard.RR8.Male:				Elding Herra
GamePlayer.RealmTitle.Midgard.RR9.Male:				Stormur Herra
GamePlayer.RealmTitle.Midgard.RR10.Male:			Einherjar
GamePlayer.RealmTitle.Midgard.RR11.Male:			Herra
GamePlayer.RealmTitle.Midgard.RR12.Male:			Hersir
GamePlayer.RealmTitle.Midgard.RR13.Male:			Vicomte
GamePlayer.RealmTitle.Midgard.RR14.Male:			Stor Jarl

# /Female
GamePlayer.RealmTitle.Midgard.RR0.Female:			Invader
GamePlayer.RealmTitle.Midgard.RR1.Female:			Skiltvakten
GamePlayer.RealmTitle.Midgard.RR2.Female:			Isen Vakten
GamePlayer.RealmTitle.Midgard.RR3.Female:			Flammen Vakten
GamePlayer.RealmTitle.Midgard.RR4.Female:			Elding Vakten
GamePlayer.RealmTitle.Midgard.RR5.Female:			Stormur Vakten
GamePlayer.RealmTitle.Midgard.RR6.Female:			Isen Fru
GamePlayer.RealmTitle.Midgard.RR7.Female:			Flammen Fru
GamePlayer.RealmTitle.Midgard.RR8.Female:			Elding Fru
GamePlayer.RealmTitle.Midgard.RR9.Female:			Stormur Fru
GamePlayer.RealmTitle.Midgard.RR10.Female:			Einherjar
GamePlayer.RealmTitle.Midgard.RR11.Female:			Fru
GamePlayer.RealmTitle.Midgard.RR12.Female:			Baronsfru
GamePlayer.RealmTitle.Midgard.RR13.Female:			Vicomtessa
GamePlayer.RealmTitle.Midgard.RR14.Female:			Stor Hurfru

# Hibernia
# /Male
GamePlayer.RealmTitle.Hibernia.RR0.Male:			Defender
GamePlayer.RealmTitle.Hibernia.RR1.Male:			Savant
GamePlayer.RealmTitle.Hibernia.RR2.Male:			Cosantoir
GamePlayer.RealmTitle.Hibernia.RR3.Male:			Brehon
