# Language file for DOL
# Language used : SPANISH / Español
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglés
System.LanguagesName.French:				Francés
System.LanguagesName.German:				Alemán
System.LanguagesName.Spanish:				Español
System.LanguagesName.Czech:					Czech

# SYSTEM
System.NoSense:								Eso no tiene sentido!

# GAMEPLAYER
GamePlayer.SendReceive.sends:				{0} envía, {1}
GamePlayer.Quit.CantQuitDead:				No puedes salir ahora debido a que estás muerto. Escribe '/release' para revivir tu cuerpo.
GamePlayer.Quit.CantQuitMount:				Has de desmontar antes de poder salir.
GamePlayer.Quit.CantQuitStanding:			Has de estar parado para salir.
GamePlayer.Quit.CantQuitCrafting:			No puedes salir mientras estás crafteando.
GamePlayer.Quit.RecentlyInCombat:			Has estado en combate recientemente, debes esperar para poder salir.
GamePlayer.Quit.YouWillQuit:				Saldrás una vez sentado en {0} segundos. Escribe '/stand' o muévete si no quieres salir.
GamePlayer.Release.NotDead:					No estás muerto!
GamePlayer.Release.CantReleaseDuel:			Tu cuerpo se recuperará automáticamente en una muerte de duelo.
GamePlayer.Release.NoLongerReleaseAuto:		Te recuperarás automáticamente en ({0} segundos más).
GamePlayer.Release.WillReleaseAuto:			Te recuperarás automáticamente en {0} segundos más!
GamePlayer.Release.WillReleaseAutoCity:		Revivirás automaticamente en un tu ciudad en {o} segundos más!
GamePlayer.Release.YouRelease:				Recuperas tu cuerpo desde la muerte.
GamePlayer.Release.GraveErected:			Una tumba fue levantada donde has sido abatido.
GamePlayer.Release.ReturnToPray:			Vuelve para rezar usando el comando /pray y recuperar la experiencia perdida.
GamePlayer.Release.LostConstitution:		Has perdido puntos de constitución, ve al curandero para recuperarlos!
GamePlayer.Release.SurroundingChange:		Tu entorno de repente se cambia!
GamePlayer.Release.NoValidBindpoint:		No tienes un lugar de recuperacion válido!
GamePlayer.Release.WillReleaseIn:			Te auto-recuperarás en {0} segundos más.
GamePlayer.Pray.CantPrayNow:				No puedes rezar ahora!
GamePlayer.Pray.NeedTarget:					Necesitas seleccionar una tumba a la que rezar!
GamePlayer.Pray.SelectGrave:				 Selecciona tu tumba para rezar!
GamePlayer.Pray.MustGetCloser:				Necesitas estar cerca de tu tumba para poder rezar!
GamePlayer.Pray.MustStandingStill:			Has de estar parado para poder rezar.
GamePlayer.Pray.AlreadyPraying:				Ya estás rezando!
GamePlayer.Pray.Begin:						Comienzas tus oraciones!
GamePlayer.Pray.GainBack:					Rezas en tu tumba y recuperas la experiencia perdida!
GamePlayer.AddSpecialisation.YouLearn:		Aprendes la habilidad {0}
GamePlayer.RemoveSpecialization.YouLose:	Pierdes la habilidad {0}!
GamePlayer.AddSpellLine.YouLearn:			Entrenas la lista de conjuros {0}!
GamePlayer.RemoveSpellLine.YouLose:			Pierdes la lista de conjuros {0}!
GamePlayer.AddAbility.YouLearn:				Aprendes la habilidad {0}!
GamePlayer.RemoveAbility.YouLose:			Pierdes la habilidad {0}!
