# General Sentences
GMCommands.Error:							Erreur: {0}


# /addbind Command
GMCommands.AddBind.Description:				Ajout du point de Bind.
GMCommands.AddBind.Usage:					/addbind [radius=750]
GMCommands.AddBind.BindPointAdded:			Point de Bind ajouté en: X={0}, Y={1}, Z={2}, Radius={3}, Region={4}


# /addhookpoint Command
GMCommands.HookPoint.Description:			Add hookpoint on a keep component.
GMCommands.HookPoint.Usage:					'/addhookpoint <skin> <id>' to add a hookpoint (select the GameKeepComponent)
GMCommands.HookPoint.NoGKCTarget:			You are not targeting a GameKeepComponent!


# /annunce Command
GMCommands.Announce.Description:			Envoi un message a tous les joueurs
GMCommands.Announce.Usage:					/announce <log|window|send|center|confirm> <message>
GMCommands.Announce.LogAnnounce:			[Announce]: {0}
GMCommands.Announce.WindowAnnounce:			Annonce de {0}
GMCommands.Announce.SendAnnounce:			[Announce]: {0}
GMCommands.Announce.ConfirmAnnounce:		Annonce dem {0}: {1}


# /area Command
GMCommands.Area.Description:				Commande pour la creation d'Area
GMCommands.Area.Usage.Create:				/area create <name> <type(circle|square)> <radius> <broadcast(y|n)> <soundid>
GMCommands.Area.AreaCreated:				Area created - Description: {0}, X={1}, Y={2}, Z={3}, Radius={4}, Broadcast={5}, Sound={6}.


# GMCommands
# /ban
GMCommands.Ban.Description:					Utilisation de la commande /ban: 
GMCommands.Ban.Usage.IP:					'/ban ip <reason>' Ban l'addresse IP de la cible
GMCommands.Ban.Usage.Account:				'/ban account <reason>' Ban le compte de la cible
GMCommands.Ban.Usage.Both:					'/ban both <reason>' Ban le compte et l'ip
Scripts.GM.Ban.AAlreadyBanned:				Ce compte a déjà été banni.
Scripts.GM.Ban.ABanned:						Le compte {0} a été banni.
Scripts.GM.Ban.BAlreadyBanned:				Ce compte et cette IP ont déjà été bannis.
Scripts.GM.Ban.BBanned:						Le compte {0} et l'adresse IP {1} ont été bannis.
Scripts.GM.Ban.IAlreadyBanned:				Cette adresse IP a déjà été bannie.
Scripts.GM.Ban.IBanned:						L'adresse IP {0} a été bannie.
Scripts.GM.Ban.MustTarget:					Vous devez sélectionner une cible !


# /cast Command
GMCommands.Cast.Description:				Lance l'effet visuel d'un sort
GMCommands.Cast.Usage:						'/cast <id> <effect|cast|spell>' Cast the Spell/VisualEffect associated with <SpellID>
GMCommands.Cast.InvalidId:					ID invalide.
GMCommands.Cast.IdNegative:					L'ID ne peut etre negative.
GMCommands.Cast.EffectExecuted:				Effect animation executed. Id={0}
GMCommands.Cast.CastExecuted:				Cast animation executed. Id={0}
GMCommands.Cast.Spell.CastOnLiving:			You cast {0} on {1}.
GMCommands.Cast.Spell.CastOnSelf:			You cast {0} on self.
GMCommands.Cast.Spell.GMCastOnYou:			{0} {1} cast {2} on you.
GMCommands.Cast.Spell.Inexistent:			Spell inexistent. Id={0}


# /crafting Command
GMCommands.Crafting.Description:			Change the crafting level of your target
GMCommands.Crafting.Usage.Add:				'/crafting add <craftingSkillID> <startLevel>' To add a new crating skill to your target
GMCommands.Crafting.Usage.Change:			'/crafting change <craftingSkillID> <amount>' To increase or decrease the crafting skill level of your target
