
# HOUSING
House.DBHousePermissions.AccessLevel:			Access level {0}
House.Edit.NotEnoughMoney:				Vous n'avez pas assez d'argent pour faire cela!
House.Edit.PayForChanges:				Vous payez {0} pour les modifications.
House.Enter.EnteredHouse:				Vous etes entre dans la maison numero {0}.
House.Exit.LeftHouse:					Vous avez quitte la maison numero {0}.
House.SendHouseInfo.DoorMaterial:			-Porte: {0}	
House.SendHouseInfo.ExteriorMaterials:			Exterior Materials:	
House.SendHouseInfo.ExteriorUpgrades:			Exterior Upgrades:	
House.SendHouseInfo.HouseOwner:				{0}'s house
House.SendHouseInfo.IndoorGuildBanner:			-Bannieres: {0}	
House.SendHouseInfo.IndoorGuildShield:			-Boucliers: {0}	
House.SendHouseInfo.InteriorCarpets:			Tapis Interieur:	
House.SendHouseInfo.InteriorUpgrades:			Ajouts Interieur:	
House.SendHouseInfo.Level:				Niveau: {0}
House.SendHouseInfo.Lockbox:				Lockbox: {0}
House.SendHouseInfo.Lotnum:				Lot numero: {0}
House.SendHouseInfo.MaxLockbox:				Max in Lockbox: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Bannieres: {0}	
House.SendHouseInfo.OutdoorGuildShield:			-Boucliers: {0}	
House.SendHouseInfo.Owner:				Proprietaire: {0}
House.SendHouseInfo.Owners:				Proprietaires:
House.SendHouseInfo.Porch:				Porche: 
House.SendHouseInfo.PorchEnabled:			-Enabled: {0}	
House.SendHouseInfo.PorchMaterial:			-Porche: {0}	
House.SendHouseInfo.PorchRoofColor:			-Couleur: {0}	
House.SendHouseInfo.RentalPrice:			Loyer: {0}	
House.SendHouseInfo.RentDueIn:				Date du paiement : {0} jours, {1} heures
House.SendHouseInfo.RoofMaterial:			-Toit: {0}	
House.SendHouseInfo.Rug1Color:				-Couleur 1: {0}
House.SendHouseInfo.Rug2Color:				-Couleur 2: {0}
House.SendHouseInfo.Rug3Color:				-Couleur 3: {0}
House.SendHouseInfo.Rug4Color:				-Couleur 4: {0}
House.SendHouseInfo.TrussMaterial:			-Support: {0}	
House.SendHouseInfo.WallMaterial:			-Murs: {0}	
House.SendHouseInfo.WindowMaterial:			-Volets: {0}	


HouseEnterLeave.TooFarAway:					Vous etes trop loin pour entrer dans la maison {0}.
HouseEnterLeave.CantEnter:					Vous ne pouvez pas entrer dans la maison {0}.

HousingDecorationRotate.Rotated:			Objet d'interieur pivote de {0} degres à {1} degres.


# /Housing
Scripts.Player.Housing.BadShieldBanner:			Ce n'est pas un objet ou une banniere valide.
Scripts.Player.Housing.CantBeSold:				Cet objet ne peut etre vendu!
Scripts.Player.Housing.CarpetsRemoved:			Votre tapis a ete retire.
Scripts.Player.Housing.ClearHookPoint:			Voulez vous retirer l'objet du point d'ancrage ?
Scripts.Player.Housing.EnteredHouse:			Vous entrez dans la maison numero {0}.
Scripts.Player.Housing.GardenItemPlaced:		Objets du jardin places. {0} places restante.
Scripts.Player.Housing.GardenItemPlacedName:	Vous deposez l'objet {0} dans votre jardin.
Scripts.Player.Housing.GardenMaxObjects:		Vous avez depose un nombre de 30 objets dans votre jardin. Vous n'avez plus de place.
Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} possede maintenant une maison de guilde de {1}!
Scripts.Player.Housing.HookPointAdded:			Cet objet a ete ajoute à votre maison.
Scripts.Player.Housing.HookPointAlready:		Cet ancrage possede dejà un objet!
Scripts.Player.Housing.HookPointCleared:		Le point d'ancrage est maintenant vide.
Scripts.Player.Housing.HookPointCloser:			Tenez vous le plus pres possible du lot desire et appuyez sur "accepter".
Scripts.Player.Housing.HookPointID:				L'id du point d'ancrage est : {0}
Scripts.Player.Housing.HookPointLogged:			La position du point d'ancrage {0} est dans error.log !
Scripts.Player.Housing.HookPointLogLoc:			Afficher les points d'ancrage ?
