# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuité
SkillBase.RegisterPropertyNames.AcuityBonusCap:         Bonus au cap d'attribut : Acuité
SkillBase.RegisterPropertyNames.AllArcherySkills:      Toutes les compétences d'Archererie
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:   Toutes compétences deux armes
SkillBase.RegisterPropertyNames.AllMagicSkills:         Toutes les compétences Magique
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:   Toutes les compétences d'armes de mêlée
SkillBase.RegisterPropertyNames.AllSkills:            Toutes les compétences
SkillBase.RegisterPropertyNames.ALLSpellLines:         Toutes les lignes de sorts
SkillBase.RegisterPropertyNames.Arboreal:             Voie Arboréale
SkillBase.RegisterPropertyNames.ArborealFocus:         Focus : Voie Arboréale
SkillBase.RegisterPropertyNames.ArcheryRange:         Portée d'archerie
SkillBase.RegisterPropertyNames.ArcherySpeed:         Vitesse de tir
SkillBase.RegisterPropertyNames.ArrowRecovery:         Récupération de flèches
SkillBase.RegisterPropertyNames.Augmentation:         Amélioration
SkillBase.RegisterPropertyNames.AuraManipulation:      Manipulation d'Aura
SkillBase.RegisterPropertyNames.Axe:               Hache
SkillBase.RegisterPropertyNames.Battlesongs:         Chants de guerre
SkillBase.RegisterPropertyNames.BeastCraft:            Lien Animal
SkillBase.RegisterPropertyNames.Blades:               Lames
SkillBase.RegisterPropertyNames.BladeturnReinforcement:   Renforcement de la bulle protectrice {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.BlockChance:         -Taux de blocage: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Blunt:               Masse
SkillBase.RegisterPropertyNames.Body:               Corps
SkillBase.RegisterPropertyNames.BodyMagic:            Alitération
SkillBase.RegisterPropertyNames.BodyMagicFocus:         Focus : Alitération
SkillBase.RegisterPropertyNames.BoneArmy:            Armée Squelettique
SkillBase.RegisterPropertyNames.BoneArmyFocus:        Focus : Armée Squelettique
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:   Bonus d'Absorption (Abs)
SkillBase.RegisterPropertyNames.BonusToArmorFactor:      Bonus au facteur d'armure (AF)
SkillBase.RegisterPropertyNames.CastingSpeed:         Bonus à la vitesse d'incantation
SkillBase.RegisterPropertyNames.CaveMagic:            Magie Abyssale
SkillBase.RegisterPropertyNames.CelticDual:            Art de Combat
SkillBase.RegisterPropertyNames.CelticSpear:         Lance Celtique
SkillBase.RegisterPropertyNames.Chants:               Cantique
SkillBase.RegisterPropertyNames.Charisma:            Charisme
SkillBase.RegisterPropertyNames.CharismaBonusCap:      Bonus au cap d'attribut : Charisme
SkillBase.RegisterPropertyNames.Cold:               Froid
SkillBase.RegisterPropertyNames.ColdMagic:            Voie de la Glace
SkillBase.RegisterPropertyNames.ColdMagicFocus:         Focus : Voie de la Glace
SkillBase.RegisterPropertyNames.Composite:            Composite
SkillBase.RegisterPropertyNames.Concentration:         Concentration
SkillBase.RegisterPropertyNames.Constitution:         Constitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:   Bonus au cap d'attribut : Constitution
SkillBase.RegisterPropertyNames.Creeping:            Voie Sylvestre
SkillBase.RegisterPropertyNames.CreepingPathFocus:      Focus : Voie Sylvestre
SkillBase.RegisterPropertyNames.CriticalArcheryHit:      Bonus aux chances de critique Archerie
SkillBase.RegisterPropertyNames.CriticalMeleeHit:      Bonus aux chance de critique en mélée
SkillBase.RegisterPropertyNames.CriticalStrike:         Attaques Surnoises
SkillBase.RegisterPropertyNames.Crossbows:            Arbalètes
SkillBase.RegisterPropertyNames.Crush:               Contendant
SkillBase.RegisterPropertyNames.Crushing:            Contondant
SkillBase.RegisterPropertyNames.Cursing:            Sortilèges
SkillBase.RegisterPropertyNames.CursingFocus:         Focus : Sortilèges
SkillBase.RegisterPropertyNames.Darkness:            Ténèbres
SkillBase.RegisterPropertyNames.DarknessFocus:         Focus : Ténèbres
SkillBase.RegisterPropertyNames.DeathServant:         Servitor Mortis
SkillBase.RegisterPropertyNames.DeathservantFocus:      Focus : Servitor Mortis
SkillBase.RegisterPropertyNames.Deathsight:            Visio Mortis
SkillBase.RegisterPropertyNames.DeathsightFocus:     Focus : Visio Mortis
SkillBase.RegisterPropertyNames.DebuffEffectivness:      Réduction d'éfficacité
SkillBase.RegisterPropertyNames.DefensiveBonus:         - Bonus de défense: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Dementia:            Démence
SkillBase.RegisterPropertyNames.Dexterity:            Dexterité
SkillBase.RegisterPropertyNames.DexterityBonusCap:      Bonus au cap d'attribut : Dexterité
SkillBase.RegisterPropertyNames.DualWield:            Deux Armes
SkillBase.RegisterPropertyNames.EarthMagic:            Voie de la Terre
SkillBase.RegisterPropertyNames.EarthMagicFocus:      Focus : Voie de la Terre
