# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
# Edit by the french player
# Finish by heretoc
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:					Anglais
System.LanguagesName.French:					Français
System.LanguagesName.German:					Allemand
System.LanguagesName.Spanish:					Espagnol
System.LanguagesName.Czech:					Tchèque
System.LanguagesName.Italian:					Italien 

# SYSTEM
System.NoSense:									Cela n'aurait aucun sens !
System.MustSelectTarget:						Vous devez selectionner une cible !
System.ReleaseTimer:							Délai de résurrection

# CRAFTING
# (Tous)
Crafting.CheckTool.AlchemyKit:            Kit d'alchimie
Crafting.CheckTool.FindAlchemyTable:         Vous devez trouver une table d'alchimie !
Crafting.CheckTool.FindForge:            Vous devez trouver une forge !
Crafting.CheckTool.FindLathe:            Vous devez trouver une lathe !
Crafting.CheckTool.FindPlaningTool:         Vous devez trouver un outil de rabotage !
Crafting.CheckTool.FindSewingKit:         Vous devez trouver un kit de couture !
Crafting.CheckTool.FindSmithTool:         Vous devez trouver des outils de forgeron !
Crafting.CheckTool.FindSpellcraftKit:         Vous devez trouver un kit de spellcraft !
Crafting.CheckTool.MortarAndPestle:         mortier et pilon
Crafting.CheckTool.NotHaveTools:         Vous n'avez pas les outils pour le {0}.
Crafting.CheckTool.PlaningTool:            outil de rabotage
Crafting.CheckTool.SewingKit:            kit de couture
Crafting.CheckTool.SmithsHammer:         le marteau du forgeron
Crafting.CheckTool.SpellcraftKit:         Kit de spellcraft
Crafting.GainCraftingSkillPoints.RaiseArmorcraft:   Vous devez voir votre entraîneur pour augmenter votre niveau en Armurerie pour allez plus loin!
Crafting.GainCraftingSkillPoints.RaiseFletching:   Vous devez voir votre entraîneur pour augmenter votre niveau en Empennage pour allez plus loin!
Crafting.GainCraftingSkillPoints.RaiseSpellcraft:   Vous devez voir votre entraîneur pour augmenter votre niveau en Alchimie pour allez plus loin!
Crafting.GainCraftingSkillPoints.RaiseTailoring:   Vous devez voir votre entraîneur pour augmenter votre niveau en Couture pour allez plus loin!
Crafting.GainCraftingSkillPoints.RaiseWeaponcraft:   Vous devez voir votre entraîneur pour augmenter votre niveau en Forge pour allez plus loin!

AbstractCraftingSkill.BuildCraftedItem.BackpackFull:   Votre sac est plein. {0} est déposer sur le sol.
AbstractCraftingSkill.BuildCraftedItem.Masterpiece:   Bravo, Vous avez crée un chez-d'oeuvre !
AbstractCraftingSkill.BuildCraftedItem.Successfully:   Vous avez correctement fabriquer {0}! ({1})
AbstractCraftingSkill.CheckRawMaterial.NoIngredients:   Vous n'avez pas les ingredients pour faire le {0}.
