# Language file for DOL
# Language used : ITALIAN
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglese
System.LanguagesName.French:				Francese
System.LanguagesName.German:				Tedesco
System.LanguagesName.Spanish:				Spagnolo
System.LanguagesName.Czech:					Cecoslovacco
System.LanguagesName.Italian:				Italiano

# SYSTEM
System.NoSense:								Non ha senso!
System.MustSelectTarget:					Devi selezionare un bersaglio!
System.ReleaseTimer:						Release Timer

# GAMEPLAYER
GamePlayer.Attack.AlreadyDead:				{0} e' gia' morto!
GamePlayer.Attack.Blocked:					{0} blocca il tuo attacco!
GamePlayer.Attack.CantBeAttacked:			Non puo' essere attaccato!
GamePlayer.Attack.CantCritical:				Non puoi effettuare un colpo critico su questo bersaglio, cambi la modalita' in colpo normale.
GamePlayer.Attack.CantSeeTarget:			Non riesci a vedere il tuo bersaglio!
GamePlayer.Attack.CantUseQuiver:			Non puoi usare i colpi nella tua faretra con l'arma che stai usando!
GamePlayer.Attack.CouldRepair:				Il tuo {0} puo' usare riparazioni.
GamePlayer.Attack.Critical:					Colpisci criticamente di {0} per un danno addizionale di {1} !
GamePlayer.Attack.Evade:					{0} ti attacca e schivi il colpo!
GamePlayer.Attack.Evaded:					{0} schiva il tuo colpo!
GamePlayer.Attack.Fumble:					Sbagli l'attacco e prendi tempo per recuperare!
GamePlayer.Attack.Fumbled:					{0} annaspato!
GamePlayer.Attack.HitsYour:					{0} ti colpisce {1} per un danno di {2}{3} !
GamePlayer.Attack.HitsYou:					{0} ti colpisce per un danno di {1}{2} !
GamePlayer.Attack.HitsYouCritical:			{0} ti colpisce criticamente per un danno di {1} !
GamePlayer.Attack.InterceptHit:				{0} {1}{2} e colpisce per un danno di {3}{4} !
GamePlayer.Attack.Intercepted:				{0} si mette di fronte a {1} e intercetta il colpo!
GamePlayer.Attack.InterceptedHit:			{0} {1}{2} ma colpisce {3} per un danno di {4}{5} !
GamePlayer.Attack.Interrupted:				{0} ti sta attacando e il tuo {1} viene interrotto!
GamePlayer.Attack.Location.Torso:			il torso
GamePlayer.Attack.Location.Arm:				le braccia
GamePlayer.Attack.Location.Head:			la testa
GamePlayer.Attack.Location.Leg:				le gambe
GamePlayer.Attack.Location.Hand:			le mani
GamePlayer.Attack.Location.Foot:			i piedi
GamePlayer.Attack.Miss:						Manchi il colpo!
GamePlayer.Attack.Missed:					{0} ti attacca e ti manca!
GamePlayer.Attack.MustSelectQuiver:			Devi selezionare lo slot della faretra da usare!
GamePlayer.Attack.NeedRepair:				{0} ha bisogno di riparazioni.
GamePlayer.Attack.NeedRepairDire:			{0} ha veramente bisogno di riparazioni.
GamePlayer.Attack.NeedTarget:				Devi selezionare un bersaglio da attaccare!
GamePlayer.Attack.NotInView:				{0} non e' in vista!
GamePlayer.Attack.Parried:					{0} para il tuo attacco!
GamePlayer.Attack.Parry:					{0} ti attacca e tu pari il colpo!
GamePlayer.Attack.ReadyToFire:				Sei pronto a colpire!
GamePlayer.Attack.StrafMiss:				Ti stavi spostando lateralmente in combattimento e hai mancato!
GamePlayer.Attack.TooFarAway:				{0} e' troppo lontano per essere attaccato!
GamePlayer.Attack.TooTired:					Sei troppo stanco per continuare a trattenere il colpo!
GamePlayer.Attack.Type.Shot:				colpisci
GamePlayer.Attack.Type.Throw:				lanci
GamePlayer.Attack.WithYour:					con il tuo
GamePlayer.Attack.YouAttack:				Attacchi
GamePlayer.Attack.YouShot:					Colpisci		
GamePlayer.Die.CorpseLies:					{0} e' morto. {1} cadavere giace sul terreno.
GamePlayer.Die.DeadRVR:						Sei morto combattendo per il tuo reame e non perdi esperienza!
GamePlayer.Die.DeathN1:						Questa e' la tua prima morte per questo livello. La tua perdita di esperienza e costituzione sono notevolmente ridotte.
GamePlayer.Die.DeathN2:						Questa e' la tua seconda morte per questo livello. La tua perdita di esperienza e costituzione sono ridotte.
GamePlayer.Die.DuelDefeated:				{0} e' stato sconfitto in duello da {1} !
GamePlayer.Die.Killed:						{0} e' stato ucciso !
GamePlayer.Die.KilledBy:					{0} e' stato ucciso da {1}.
GamePlayer.Die.KilledByLocation:			{0} e' stato ucciso {1} a {2}.
GamePlayer.Die.KilledLocation:				{0} e' stato ucciso a {1} !
GamePlayer.Die.ReleaseToReturn:				Sei stato ucciso.  Digita '/release' per ritornare al tuo ultimo punto di rinascita.
GamePlayer.Die.YouKilled:					Hai ucciso {0}!
GamePlayer.SendReceive.sends:				 scrive, 
GamePlayer.Quit.CantQuitDead:				Non puoi uscire adesso, sei morto.  Digita '/release' per rilasciare il tuo cadavere.
GamePlayer.Quit.CantQuitMount:				Devi smontare prima di uscire.
GamePlayer.Quit.CantQuitStanding:			Devi rimanere ancora in piedi per uscire.
GamePlayer.Quit.CantQuitCrafting:			Non puoi uscire mentre costruisci.
GamePlayer.Quit.RecentlyInCombat:			Sei stato recentemente in combattimento e devi aspettare ancora per poter uscire.
GamePlayer.Quit.YouWillQuit:				Uscirai dopo essere rimasto seduto per {0} secondi.  Digita '/stand' oppure muoviti se non vuoi uscire.
GamePlayer.Release.NotDead:					Non sei morto!
GamePlayer.Release.CantReleaseDuel:			Non puoi modificare il tuo rilascio durante un duello!
GamePlayer.Release.NoLongerReleaseAuto:		Non verrai piu' rilasciato automaticamente. (ancora {0} secondi)
GamePlayer.Release.WillReleaseAuto:			Ora verrai rilasciato automaticamente tra {0} secondi!
GamePlayer.Release.WillReleaseAutoCity:		Ora verrai rilasciato automaticamente nella tua citta' di appartenenza tra {0} secondi!
GamePlayer.Release.YouRelease:				Rilasci il tuo corpo nella morte.
GamePlayer.Release.GraveErected:			Una tomba e' stata eretta dove sei caduto.
GamePlayer.Release.ReturnToPray:			Ritorna qui e digita '/pray' sulla tua tomba per recuperare l'esperienza perduta.
GamePlayer.Release.LostConstitution:		Hai perso costituzione, vai da un guaritore per recuperarla!
GamePlayer.Release.SurroundingChange:		Il paesaggio intorno a te cambia improvvisamente!
GamePlayer.Release.NoValidBindpoint:		Non hai impostato un punto di rinascita valido! Rinascerai qui!
GamePlayer.Release.WillReleaseIn:			Sarai rilasciato automaticamente tra {0} secondi.
GamePlayer.Pray.CantPrayNow:				Non puoi pregare adesso!
GamePlayer.Pray.NeedTarget:					Devi selezionare una tomba sulla quale pregare!
GamePlayer.Pray.SelectGrave:				Seleziona la tua tomba sulla quale pregare!
GamePlayer.Pray.MustGetCloser:				Devi avvicinarti di piu' alla tua tomba per sederti e pregare!
GamePlayer.Pray.MustStandingStill:			Devi essere in piedi per pregare.
GamePlayer.Pray.AlreadyPraying:				Stai gia' pregando!
GamePlayer.Pray.Begin:						Incominci le tue preghiere!
GamePlayer.Pray.GainBack:					Preghi sulla tua tomba e recuperi l'esperienza perduta!
GamePlayer.AddSpecialisation.YouLearn:		Impari lo stile {0} !
GamePlayer.RemoveSpecialization.YouLose:	Perdi lo stile {0} !
GamePlayer.AddSpellLine.YouLearn:			Impari gli incantesimi {0} !
GamePlayer.RemoveSpellLine.YouLose:			Perdi gli incantesimi {0} !
GamePlayer.AddAbility.YouLearn:				Impari l'abilita' {0} !
GamePlayer.RemoveAbility.YouLose:			Perdi l'abilita' {0} !
GamePlayer.RefreshSpec.YouLearn:			Impari lo stile di combattimento {0} !
GamePlayer.RefreshSpec.AfterStyle:			Questo stile puo' essere usato solamente dopo {0}.
GamePlayer.RefreshSpec.AfterMissed:			Questo stile e' usato meglio dopo che il tuo ultimo attacco e' stato mancato.
GamePlayer.RefreshSpec.AfterParried:		Questo stile e' usato meglio dopo che il tuo ultimo attacco e' stato parato.
GamePlayer.RefreshSpec.AfterBlocked:		Questo stile e' usato meglio dopo che il tuo ultimo attacco e' stato bloccato.
GamePlayer.RefreshSpec.AfterEvaded:			Questo stile e' usato meglio dopo che il tuo ultimo attacco e' stato schivato.
GamePlayer.RefreshSpec.AfterFumbles:		Questo stile e' usato meglio dopo che il tuo ultimo attacco e' stato annaspato.
GamePlayer.RefreshSpec.TargetMisses:		Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' stato mancato.
GamePlayer.RefreshSpec.TargetHits:			Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio ti colpisce.
GamePlayer.RefreshSpec.TargetParried:		Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' stato parato.
GamePlayer.RefreshSpec.TargetBlocked:		Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' stato bloccato.
GamePlayer.RefreshSpec.TargetEvaded:		Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' stato schivato.
GamePlayer.RefreshSpec.TargetFumbles:		Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' stato annaspato.
GamePlayer.RefreshSpec.TargetStyle:			Questo stile e' usato meglio dopo che l'ultimo attacco del tuo bersaglio e' uno stile di combattimento.
GamePlayer.UpdateSpellLine.GainPower:		Acquisisci potere negli incantesimi {0} !
GamePlayer.OnSkillTrained.YouSpend:			Spendi {0} punti e ti specializzi maggiormente in {1}
GamePlayer.OnSkillTrained.YouHave:			Ti sono rimasti {0} punti di specializzazione per questo livello.
GamePlayer.OnSkillTrained.TrainsInVarious:	{0} impara in varie specializzazioni.
GamePlayer.GainRealmPoints.YouGet:			Ottieni {0} punti reame!
GamePlayer.GainRealmPoints.GainedLevel:		Hai ottenuto un livello reame!
GamePlayer.GainRealmPoints.GainedRank:		Hai ottenuto un nuovo rango e titolo reame!
GamePlayer.GainRealmPoints.NewRealmTitle:	Il tuo nuovo titolo reame e' {0}!
GamePlayer.GainRealmPoints.GainBonus:		Ottieni un bonus di +{0} in tutte le specializzazioni!
GamePlayer.GainRealmPoints.ReachedRank:		{0} ha raggiunto il rango reame {1:#L#} a {2}!
GamePlayer.GainRealmPoints.Earned:			{0} ha guadagnato 1.000.000 di punti reame a {1}
GamePlayer.GainBountyPoints.YouGet:			Ottieni {0} punti taglia!
GamePlayer.GainExperience.YouGet:			Ottieni {0} punti esperienza.
GamePlayer.GainExperience.CannotRaise:		Non puoi reclamare il livello 6 finche' non scegli una classe!
GamePlayer.GainExperience.TalkToTrainer:	Parla con il tuo allenatore per ricevere maggiori informazioni.
GamePlayer.OnLevelUp.YouRaise:				Il tuo livello sale a {0}!
GamePlayer.OnLevelUp.YouAchived:			Hai raggiunto il livello {0}!
GamePlayer.OnLevelUp.FreeLevelEligible:		Ora puoi acquisire un livello gratuito! Clicca sul tuo allenatore per riceverlo (oppure digita '/freelevel decline' per rinunciare al livello gratuito).
GamePlayer.OnLevelUp.Reached:				{0} ha raggiunto il livello {1} a {2}!
GamePlayer.OnLevelUp.StatRaise:				Le tue statistiche aumentano!
GamePlayer.OnLevelUp.AttainedRank:			Sei stato eletto al rango {0}!
GamePlayer.OnLevelUp.YouGetSpec:			Hai ottenuto altri {0} punti specializzazione da spendere in questo livello!
GamePlayer.OnLevelUp.HitsRaise:				I tuoi punti ferita aumentano di {0}.
GamePlayer.OnLevelUp.PowerRaise:			I tuoi punti potere aumentano di {0}.
GamePlayer.OnLevelUp.SecondStage:			Sali al livello {0} Stage 2!
GamePlayer.IsCloakHoodUp.NowWear:			Abbassi il cappuccio sul tuo capo.
GamePlayer.IsCloakHoodUp.NoLongerWear:		Alzi il cappuccio dal tuo capo.
