# (All)
Crafting.CheckTool.AlchemyKit:				alchemy kit
Crafting.CheckTool.FindAlchemyKit:			You must find a alchemy kit!
Crafting.CheckTool.FindAlchemyTable:		You must find a alchemy table!
Crafting.CheckTool.FindForge:				You must find a forge!
Crafting.CheckTool.FindLathe:				You must find a lathe!
Crafting.CheckTool.FindMortarPestle:		You must find a mortar and pestle!
Crafting.CheckTool.FindPlaningTool:			You must find a planing tool!
Crafting.CheckTool.FindSewingKit:			You must find a sewing kit!
Crafting.CheckTool.FindSmithTool:			You must find a smith tool!
Crafting.CheckTool.FindSpellcraftKit:		You must find a spellcraft kit!
Crafting.CheckTool.MortarAndPestle:			mortar and pestle
Crafting.CheckTool.NotHaveTools:			You do not have the tools to make the {0}.
Crafting.CheckTool.PlaningTool:				planing tool
Crafting.CheckTool.SewingKit:				sewing kit
Crafting.CheckTool.SmithsHammer:			smith's hammer
Crafting.CheckTool.SpellcraftKit:			spellcraft kit
Crafting.GainCraftingSkillPoints.RaiseAlchemy:		You must see your trainer to raise your Alchemy further!
Crafting.GainCraftingSkillPoints.RaiseArmorcraft:	You must see your trainer to raise your Armorcraft further!
Crafting.GainCraftingSkillPoints.RaiseFletching:	You must see your trainer to raise your Fletching further!
Crafting.GainCraftingSkillPoints.RaiseSpellcraft:	You must see your trainer to raise your Spellcraft further!
Crafting.GainCraftingSkillPoints.RaiseTailoring:	You must see your trainer to raise your Tailoring further!
Crafting.GainCraftingSkillPoints.RaiseWeaponcraft:	You must see your trainer to raise your Weaponcraft further!
Crafting.Name.Alchemy:					Alchemy
Crafting.Name.Armorcraft:				Armorcraft
Crafting.Name.BasicCrafting:			Basic Crafting
Crafting.Name.Clothworking:				Clothworking
Crafting.Name.Evocation:				Spellcrafting
Crafting.Name.Fletching:				Fletching
Crafting.Name.Gemcutting:				Gemcutting
Crafting.Name.Herbcrafting:				Herbcraft
Crafting.Name.Jewelcraft:				Jewelcraft
Crafting.Name.Leathercrafting:			Leathercrafting
Crafting.Name.Metalworking:				Metalworking
Crafting.Name.Siegecraft:				Siegecraft
Crafting.Name.Tailoring:				Tailoring
Crafting.Name.Weaponcraft:				Weaponcraft
Crafting.Name.Woodworking:				Woodworking

# /CraftLevelToCraftTitle (OLD)
CraftLevelToCraftTitle.Helper:				Helper
CraftLevelToCraftTitle.JuniorApprentice:		Junior Apprentice
CraftLevelToCraftTitle.Apprentice:			Apprentice
CraftLevelToCraftTitle.Neophyte:			Neophyte
CraftLevelToCraftTitle.Assistant:			Assistant
CraftLevelToCraftTitle.Junior:				Junior
CraftLevelToCraftTitle.Journeyman:			Journeyman
CraftLevelToCraftTitle.Senior:				Senior
CraftLevelToCraftTitle.Master:				Master
CraftLevelToCraftTitle.Grandmaster:			Grandmaster
CraftLevelToCraftTitle.Legendary:			Legendary
CraftLevelToCraftTitle.LegendaryGrandmaster:		Legendary Grandmaster

# /CraftersTitle (NEW)
CraftersTitle.Helper:						{0}'s Helper
CraftersTitle.JuniorApprentice:				{0}'s Junior Apprentice
CraftersTitle.Apprentice:					{0}'s Apprentice
CraftersTitle.Neophyte:						Neophyte {0}
CraftersTitle.Assistant:					{0}'s Assistant
CraftersTitle.Junior:						Junior {0}
CraftersTitle.Journeyman:					Journeyman {0}
CraftersTitle.Senior:						Senior {0}
CraftersTitle.Master:						Master {0}
CraftersTitle.Grandmaster:					Grandmaster {0}
CraftersTitle.Legendary:					Legendary {0}
CraftersTitle.LegendaryGrandmaster:			Legendary Grandmaster {0}

# /CraftersProfession (NEW)
CraftersProfession.Alchemist:				Alchemist
CraftersProfession.Armorer:					Armorer
CraftersProfession.Spellcrafter:			Spellcrafter
CraftersProfession.Fletcher:				Fletcher
CraftersProfession.Tailor:					Tailor
CraftersProfession.Weaponcrafter:			Weaponcrafter
CraftersProfession.Siegecrafter:			Siegecrafter


# /AbstractCraftingSkill
AbstractCraftingSkill.BuildCraftedItem.BackpackFull:	Your backpack is full. {0} is created on the ground.
AbstractCraftingSkill.BuildCraftedItem.Masterpiece:	Congratulation, you make a masterpiece !
AbstractCraftingSkill.BuildCraftedItem.Successfully:	You successfully make the {0}! ({1})
AbstractCraftingSkill.CheckRawMaterial.NoIngredients:	You do not have the ingredients to make the {0}.
AbstractCraftingSkill.CheckRawMaterial.RawMaterial:	Cannot find an item by the ID of {0} please report this!
AbstractCraftingSkill.CheckRawMaterial.YouAreMissing:	You are missing :

AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoClothworkingSkill:		You don't have the minimum necessary Clothworking skill ({0}) to create the {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoLeathercraftingSkill:	You don't have the minimum necessary Leathercrafting skill ({0}) to create the {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoMetalworkingSkill:		You don't have the minimum necessary Metalworking skill ({0}) to create the {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoWoodworkingSkill:		You don't have the minimum necessary Woodworking skill ({0}) to create the {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.Rawmaterial:			Cannot find an item by the ID of {0} please report this!

AbstractCraftingSkill.CraftItem.BeginWork:		You begin work on the {0} ({1}%).
AbstractCraftingSkill.CraftItem.ChanceToGainPoint:	Chance to gain point in your primary crafting skill is {0}%.
AbstractCraftingSkill.CraftItem.CurrentlyMaking:	Currently Making: {0}
AbstractCraftingSkill.CraftItem.MoveAndInterrupt:	You move and interrupt your crafting.
AbstractCraftingSkill.CraftItem.StopWork:		You are no longer making {0}.
AbstractCraftingSkill.LooseRawMaterial.Count:		You lose ({0}) {1}.
AbstractCraftingSkill.LooseRawMaterial.Materials:	You fail to make the {0}, and lose some materials!
AbstractCraftingSkill.MakeItem.LoseNoMaterials:		You fail to make the {0} but lose no materials!
AbstractCraftingSkill.MakeItem.NotAllMaterials:		You have not all needed raw materials to create this item.

# /AdvancedCraftingSkill
