
# GAMENPC
GameNPC.EpicEncounterTag:						Rencontre Epique
GameNPC.DropLoot.AdditionalMoney:				Vous ramassez {0} grâce aux forts controlés par votre royaume!
GameNPC.GetAggroLevelString.Aggressive1:		agressif
GameNPC.GetAggroLevelString.Aggressive2:		Agressive
GameNPC.GetAggroLevelString.Friendly1:			amical
GameNPC.GetAggroLevelString.Friendly2:			Amicale
GameNPC.GetAggroLevelString.Hostile1:			hostile
GameNPC.GetAggroLevelString.Hostile2:			Hostile
GameNPC.GetAggroLevelString.Neutral1:			neutre
GameNPC.GetAggroLevelString.Neutral2:			Neutre
GameNPC.GetAggroLevelString.TowardsYou:			{0} envers vous
GameNPC.GetExamineMessages.YouExamine:			Vous examinez {0}. Il (elle) se trouve être {2}.
GameNPC.Interact.AlreadyRiding:					Vous montez déja {0}.
GameNPC.Interact.DirtyLook:						{0} vous jete un regard étrange.
GameNPC.Interact.IsFull:						Ce {0} est plein.
GameNPC.SayTo.Says:								{0} dit, "{1}"
GameNPC.SayTo.SpeaksTo:							{0} parle avec {1}

