# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuite
SkillBase.RegisterPropertyNames.AcuityBonusCap:         Bonus au cap d'attribut : Acuite
SkillBase.RegisterPropertyNames.AllArcherySkills:      Toutes les competences d'Archererie
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:   Toutes competences deux armes
SkillBase.RegisterPropertyNames.AllMagicSkills:         Toutes les competences Magique
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:   Toutes les competences d'armes de melee
SkillBase.RegisterPropertyNames.AllSkills:            Toutes les competences
SkillBase.RegisterPropertyNames.ALLSpellLines:         Toutes les lignes de sorts
SkillBase.RegisterPropertyNames.Arboreal:             Voie Arboreale
SkillBase.RegisterPropertyNames.ArborealFocus:         Focus : Voie Arboreale
SkillBase.RegisterPropertyNames.ArcheryRange:         Portee d'archerie
SkillBase.RegisterPropertyNames.ArcherySpeed:         Vitesse de tir
SkillBase.RegisterPropertyNames.ArrowRecovery:         Recuperation de fleches
SkillBase.RegisterPropertyNames.Augmentation:         Amelioration
SkillBase.RegisterPropertyNames.AuraManipulation:      Manipulation d'Aura
SkillBase.RegisterPropertyNames.Axe:               Hache
SkillBase.RegisterPropertyNames.Battlesongs:         Chants de guerre
SkillBase.RegisterPropertyNames.BeastCraft:            Lien Animal
SkillBase.RegisterPropertyNames.Blades:               Lames
SkillBase.RegisterPropertyNames.BladeturnReinforcement:   Renforcement de la bulle protectrice {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.BlockChance:         -Taux de blocage: {0}% (PvE Uniquement)
SkillBase.RegisterPropertyNames.Blunt:               Masse
SkillBase.RegisterPropertyNames.Body:               Corps
SkillBase.RegisterPropertyNames.BodyMagic:            Aliteration
SkillBase.RegisterPropertyNames.BodyMagicFocus:         Focus : Aliteration
SkillBase.RegisterPropertyNames.BoneArmy:            Armee Squelettique
SkillBase.RegisterPropertyNames.BoneArmyFocus:        Focus : Armee Squelettique
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:   Bonus d'absorbtion (Abs)
SkillBase.RegisterPropertyNames.BonusToArmorFactor:      Bonus au facteur d'armure (AF)
