# Language file for DOL
# Language used : GERMAN / DEUTSCH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Tschechisch
System.LanguagesName.English:				Englisch
System.LanguagesName.French:				Französisch
System.LanguagesName.German:				Deutsch
System.LanguagesName.Spanish:				Spanisch

# SYSTEM
System.NoSense:						Das würde keinen Sinn machen!
System.MustSelectTarget:				Ihr müsst ein Ziel auswählen!
System.ReleaseTimer:					Automatischer Release

# GAMEPLAYER
GamePlayer.Attack.AlreadyDead:				{0} ist bereits tot!
GamePlayer.Attack.Blocked:				{0} blockiert Euren Angriff!
GamePlayer.Attack.CantBeAttacked:			Das kann nicht angegriffen werden!
GamePlayer.Attack.CantCritical:				Ihr könnt keinen kritischen Schuss auf Euer Ziel ausführen, deshalb wechselt Ihr in die normale Schussart.
GamePlayer.Attack.CantSeeTarget:			Ihr könnt Euer Ziel nicht sehen!
GamePlayer.Attack.CantUseQuiver:			Ihr könnt den ausgewählten Köcher nicht mit Eurer Waffe benutzen!
GamePlayer.Attack.CouldRepair:				Euer {0} sollte repariert werden.
GamePlayer.Attack.Critical:				Ihr trefft {0} kritisch mit zusätzlich {1} Schaden!
GamePlayer.Attack.Evade:				{0} greift Euch an, doch Ihr könnt ausweichen!
GamePlayer.Attack.Evaded:				{0} weicht Eurem Angriff aus!
GamePlayer.Attack.Fumble:				Ihr stolpert, verhaspelt Euch beim Angriff und braucht ein paar Augenblicke, um wieder in Kampfposition zu kommen!
GamePlayer.Attack.Fumbled:				{0} verhaspelt sich!
GamePlayer.Attack.HitsYour:				{0} trifft {1} mit {2}{3} Schaden!
GamePlayer.Attack.HitsYou:				{0} trifft Euch mit {1}{2} Schaden!
GamePlayer.Attack.HitsYouCritical:			{0} trifft Euch kritisch mit {1} zusätzlichen Schaden!
GamePlayer.Attack.InterceptHit:				Ihr {0} {1}{2} an und trefft für {3}{4} Schaden!
GamePlayer.Attack.Intercepted:				{0} stellt sich vor {1} und fängt den Schlag ab!
GamePlayer.Attack.InterceptedHit:			Ihr {0} {1}{2} an aber trefft {3} für {4}{5} Schaden!
GamePlayer.Attack.Interrupted:				{0} greift Euch an und Euer {1} wurde unterbrochen!
GamePlayer.Attack.Location.Torso:			Eure Brust
GamePlayer.Attack.Location.Arm:				Euren Arm
GamePlayer.Attack.Location.Head:			Euren Kopf
GamePlayer.Attack.Location.Leg:				Euer Bein
GamePlayer.Attack.Location.Hand:			Eure Hand
GamePlayer.Attack.Location.Foot:			Euren Fuß
GamePlayer.Attack.Miss:					Ihr habt nicht getroffen!
GamePlayer.Attack.Missed:				{0} greift Euch an, trifft aber nicht!
GamePlayer.Attack.MustSelectQuiver:			Ihr müsst einen Köcherslot auswählen, aus dem Ihr ziehen wollt!
GamePlayer.Attack.NeedRepair:				Euer {0} benödigt eine Reparatur.
GamePlayer.Attack.NeedRepairDire:			Euer {0} benödigt dringend eine Reparatur.
GamePlayer.Attack.NeedTarget:				Ihr braucht ein Ziel um anzugreifen!
GamePlayer.Attack.NotInView:				{0} ist nicht in Sichtweite!
GamePlayer.Attack.Parried:				{0} parriert Euren Angriff!
GamePlayer.Attack.Parry:				{0} greift Euch an, doch Ihr könnt parieren!
GamePlayer.Attack.ReadyToFire:				Ihr seid bereit zum Schießen!
GamePlayer.Attack.StrafMiss:				Ihr wurdet im Kampf schwer angegriffen und trefft deshalb nicht.
GamePlayer.Attack.TooFarAway:				{0} ist zu weit weg für einen Angriff!
GamePlayer.Attack.TooTired:				Es ist Euch zu anstrengend, das Ziel noch länger anzuvisieren!
GamePlayer.Attack.Type.Shot:				Schuss
GamePlayer.Attack.Type.Throw:				Wurf
GamePlayer.Attack.WithYour:				mit Eure(r/m)
GamePlayer.Attack.YouAttack:				Ihr attackiert
GamePlayer.Attack.YouShot:				Ihr schießt		
GamePlayer.Die.CorpseLies:				{0} ist gerade gestorben. {1} Leichnam liegt auf der Erde.
GamePlayer.Die.DeadRVR:					Ihr starbt im Kampf für Euer Reich und verliert deshalb keine Erfahrung!
GamePlayer.Die.DeathN1:					Das ist Euer erster Tod auf dieser Stufe. Der Verlusst Eurer Erfahrung und Konstitution ist deshalb gering.
GamePlayer.Die.DeathN2:					Das ist Euer zweiter Tod auf dieser Stufe. Der Verlusst Eurer Erfahrung und Konstitution ist deshalb etwas geringer.
GamePlayer.Die.DuelDefeated:				{0} wurde gerade von {1} in einem Duell besiegt !
GamePlayer.Die.Killed:					{0} wurde gerade getötet !
GamePlayer.Die.KilledBy:				{0} wurde gerade von {1} getötet.
GamePlayer.Die.KilledByLocation:			{0} wurde gerade von {1} in {2} getötet.
GamePlayer.Die.KilledLocation:				{0} wurde gerade in {1} getötet !
