# Language file for DOL
# Language used : ENGLISH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Czech
System.LanguagesName.English:				English
System.LanguagesName.French:				French
System.LanguagesName.German:				German
System.LanguagesName.Spanish:				Spanish

# SYSTEM
System.NoSense:						That would make no sense!
System.MustSelectTarget:				You must select a target!
System.ReleaseTimer:					Release Timer

# GAMEPLAYER
GamePlayer.Attack.AlreadyDead:				{0} is already dead!
GamePlayer.Attack.Blocked:				{0} blocks your attack!
GamePlayer.Attack.CantBeAttacked:			This can't be attacked!
GamePlayer.Attack.CantCritical:				You can't get a critical shot on your target, you switch to a standard shot.
GamePlayer.Attack.CantSeeTarget:			You can't see your target!
GamePlayer.Attack.CantUseQuiver:			You can't use the selected quiver ammo with your weapon!
GamePlayer.Attack.CouldRepair:				Your {0} could use repairs.
GamePlayer.Attack.Critical:				You critical hit {0} for an additional {1} damage!
GamePlayer.Attack.Evade:				{0} attacks you and you evade the blow!
GamePlayer.Attack.Evaded:				{0} evades your attack!
GamePlayer.Attack.Fumble:				You fumble the attack and take time to recover!
GamePlayer.Attack.Fumbled:				{0} fumbled!
GamePlayer.Attack.HitsYour:				{0} hits your {1} for {2}{3} damage!
GamePlayer.Attack.HitsYou:				{0} hits you for {1}{2} damage!
GamePlayer.Attack.HitsYouCritical:			{0} critical hits you for an additionnal {1} damage!
GamePlayer.Attack.InterceptHit:				{0} {1}{2} and hit for {3}{4} damage!
GamePlayer.Attack.Intercepted:				{0} steps in front of {1} and takes the blow!
GamePlayer.Attack.InterceptedHit:			{0} {1}{2} but hit {3} for {4}{5} damage!
GamePlayer.Attack.Interrupted:				{0} is attacking you and your {1} is interrupted!
GamePlayer.Attack.Location.Torso:			torso
GamePlayer.Attack.Location.Arm:				arm
GamePlayer.Attack.Location.Head:			head
GamePlayer.Attack.Location.Leg:				leg
GamePlayer.Attack.Location.Hand:			hand
GamePlayer.Attack.Location.Foot:			foot
GamePlayer.Attack.Miss:					You miss!
GamePlayer.Attack.Missed:				{0} attacks you and misses!
GamePlayer.Attack.MustSelectQuiver:			You must select a quiver slot to draw from!
GamePlayer.Attack.NeedRepair:				Your {0} is in need of repairs.
